,제목,장르,년도,줄거리,평점,연령 등급
79,태극기 휘날리며,"액션, 드라마, 역사, 전쟁, 다큐멘터리",(2004),"1950년 6월. 서울 종로에서 가족의 생계를 책임지기 위해 열심히 살아가는 진태는 힘든 생활 속에도 약혼녀 영신과의 결혼과, 세상에서 가장 소중하게 생각하는 동생 진석의 대학진학을 위해 언제나 활기차고 밝은 생활을 해 나간다. 6월의 어느 날, 한반도에 전쟁이 일어났다는 호외가 배포되면서 평화롭기만 하던 서울은 순식간에 싸이렌 소리와 폭발음, 그리고 사람들의 비명 소리로 가득해진다. 이에 남쪽으로 피난을 결정한 진태는 영신과 가족들을 데리고 수많은 피난행렬에 동참하지만, 피난열차를 타기 위해 도착한 대구역사에서 거대한 운명의 소용돌이에 말려들고 만다.",8.0 (40k),15
80,스타 이즈 본,"드라마, 음악, 로맨스",(2018),"노래에 놀라운 재능을 가졌지만 외모에는 자신이 없는 무명가수 앨리는 공연을 하던 바에서 우연히 술을 마시러 온 톱스타 잭슨 메인을 만나게 된다. 앨리의 매력에 빠지게 된 잭슨은 앨리에게 자신의 삶에 대해 말해주고, 앨리는 그런 잭슨에게 즉석에서 노래를 만들어준다. 다음 날 잭슨은 자신의 공연에 앨리를 불러 관중 앞에서 노래를 부를 기회를 주고, 순식간에 앨리는 유명해진다. 잭슨의 도움으로 앨리는 자기 안의 열정을 폭발시키며 최고의 스타로 거듭나지만, 잭슨은 어린 시절의 상처와 예술가적 고뇌 속에서 점점 무너져가는데...",7.6 (392k),15
81,컬러 오브 머니,"드라마, 스포츠",(1986),"당구 도박꾼인 에디 펠슨은 어느 날 작은 바에서 촉망되는 당구인 빈센트를 만난다. 에디는 마치 자신의 젊었을 적 모습을 보는 것 같아 그에게 당구 도박의 기술을 가르치기로 결심한다. 빈센트는 처음에 망설이지만 곧 에디를 따라 여자 친구 카르멘과 함께 그 곳을 떠난다. 이곳 저곳을 돌아다니면서 빈센트는 멋진 솜씨를 선보이지만, 마지막 순간에 쇼맨쉽이 발동해서 번번히 경기에서 지고 만다. 돈은 점점 줄어들고 에디와 빈센트는 다투기 시작하는데...",7.0 (87k),15+
82,콜래트럴,"드라마, 범죄, 스릴러, 액션",(2004),"평범한 LA의 택시 운전사 맥스(제이미 폭스)는 돈을 모아 리무진 렌탈업을 하겠다는 소박한 꿈을 갖고 살고있다. 그는 어느날 밤, 우연히 타지에서 온 승객 빈센트(톰 크루즈)를 자신의 택시에 태우게 된다. 빈센트는 하룻밤동안 다섯 군데를 들러 볼일을 보고 새벽 6시까지 공항에 가야 한다며 택시를 전세 내자고 한다. 두 사람은 계약을 맺고, 맥스는 하룻밤 동안 빈센트의 여정에 동행하게 된다. 그러나 그는 곧 놀라운 사실을 알게 된다. 빈센트가 말한 다섯 가지의 볼일이란 바로 사람들을 죽이는 살인청부 일이었던 것. 빈센트는 마약조직에 불리한 증언을 한 증인들과 담당 검사를 살해하기위해 LA에 온 청부업자였던 것이다. 맥스는 그 상황에서 벗어나고자 몸부림치지만 그럴수록 더 깊숙이 개입하게 되는데...",7.5 (411k),15
83,타임 투 킬,"드라마, 스릴러, 범죄",(1996),"미국 남부 미시시피주의 작은 도시. 백주 대낮에 흑인 소녀가 술과 마약에 찌든 백인 건달 두 명에게 무참히 살해당한다. 재판이 시작되지만 백인 우월주의가 판치는 곳에서 공정한 판결을 기대하기란 어렵다. 법정 청소부로 일하던 소녀의 아버지 칼(새뮤얼 L. 잭슨)은 판결을 인정하지 않고 법정에 출두하는 범인들을 향해 기관총을 난사한다. 신참내기 정의파 변호사 제이크(매튜 매커너헤이)와 법학도 엘렌(산드라 블록)이 살인 혐의로 재판을 받게 된 칼의 변호를 맡는다. 이들은 KKK와 백인들의 테러, 노련하지만 피도 눈물도 없는 버클리 검사(케빈 스페이시)에 맞서 싸우는데...",7.5 (165k),15+
84,노바디,"스릴러, 범죄, 드라마, 액션",(2021),"비범한 과거를 숨긴 채 남들과 다를 바 없는 평범한 일상을 사는 한 가정의 가장 ‘허치’ 매일 출근을 하고, 분리수거를 하고 일과 가정 모두 나름 최선을 다하지만 아들한테는 무시당하고 아내와의 관계도 소원하다. 그러던 어느 날, 집안에 강도가 들고 허치는 한 번의 반항도 하지 못하고 당한다. 더 큰 위험으로부터 가족을 지키기 위한 선택이었는데 모두 무능력하다고 ‘허치’를 비난하고, 결국 그동안 참고 억눌렀던 분노가 폭발하고 만다.",7.4 (265k),15
85,미스틱 리버,"스릴러, 드라마, 범죄",(2003),"세 남자의 운명을 뒤바꾼 악몽같은 사건! 지미 마컴(숀 펜), 데이브 보일(팀 로빈스), 숀 디바인(케빈 베이컨)은 미국 보스턴의 허름한 동네에서 함께 자란 절친한 친구이다. 어느날, 정체모를 남자들에게 데이브가 납치되는 사건이 발생하고, 사건은 그들의 삶을 송두리째 뒤바꿔놓는다. 그 날의 사건을 잊으려는 듯, 서로를 멀리하던 그들. 비록 서로 각기 다른 곳에서 다른 삶을 살고 있지만, 모두의 가슴속에는 똑같은 상처를 안고 살아간다. 25년 뒤, 지미의 19살 난 딸 케이티의 살인사건으로 뜻하지 않게 재회하게 된 세 친구. 형사가 된 숀은 자신의 파트너(로렌스 피쉬번)와 사건을 맡고, 지미는 딸을 죽인 살인자에게 복수를 다짐한다. 살인사건에 대한 수사가 진행되면서 뜻밖에도 데이브가 용의자로 지목되고, 지미 딸의 죽음과 더불어 다시 찾아온 데이브의 아픈 과거는 그의 단란했던 가정과 미래에 대한 희망마저 파괴하고 마는데... 세 친구의 우정, 가정, 그리고 그 옛날 사라졌던 순수함에 대한 아픈 과거가 악몽처럼 되살아난다.",7.9 (463k),15
86,밀정,"액션, 드라마, 스릴러, 역사",(2016),"1920년대 일제강점기. 조선인 출신 일본경찰 이정출은 무장독립운동단체 의열단의 뒤를 캐라는 특명으로 의열단의 리더 김우진에게 접근하고, 두 사람은 서로의 정체와 의도를 알면서도 속내를 감춘 채 가까워진다. 출처를 알 수 없는 정보가 쌍방간에 새어나가고 누가 밀정인지 알 수 없는 가운데, 의열단은 일제의 주요 시설을 파괴할 폭탄을 경성으로 들여오기 위해, 그리고 일본 경찰은 그들을 쫓아 상해에 모인다. 서로를 이용하려는 암투와 회유, 교란 작전이 숨가쁘게 펼쳐지는 긴장감 속에서 폭탄을 실은 열차는 국경을 넘어 경성으로 향하는데...",7.1 (10k),15
87,플래닛 테러,"스릴러, 공포, 액션, 코미디, SF, 로맨스, 판타지",(2007),"평화롭던 텍사스의 한 시골마을. 클럽의 고고댄서 체리 달링은 댄서일에 염증을 느끼고 마을을 떠나려던 중 알 수 없는 존재들에게 습격 당하면서 그녀의 매력 No.1인 늘씬한 다리를 잃게 된다. 한편 의사인 윌리엄과 마취의 다코타 부부가 근무하는 병원에는 한번도 본 적 없는 증세를 호소하는 환자가 들이닥치고 이를 치료하던 중 병원은 몇 시간 사이 같은 증세를 호소하는 마을 주민들이 넘쳐나게 된다. 병원으로 옮겨진 체리는 정신이 들자 자신의 다리를 잃었음을 알고 슬퍼하지만, 슬퍼할 새도 없이 이미 병원은 정체불명의 DC-2 바이러스 감염자들로 위험에 빠져있는데...",7.1 (214k),15+
88,에어플레인,코미디,(1980),"택시 기사인 테드 스트라이커(Ted Striker: 로버트 헤이스 분)와 스튜어디스인 일레인(Elaine Dickinson: 줄리 헤거티 분)은 오랜 연인 사이. 그러나 과거 공군 조종사로 참전했던 테드가 작전 수행 도중 전사한 동료들에 대한 기억으로 인해 일종의 비행 공포증을 앓게 되고, 전우의 죽음이 자신의 판단 착오 탓이라며 하루하루 자책하며 살아가자 견디다 못한 일레인은 결별을 선언한다. 이에 테드는 떠나는 일레인을 설득하고자 엉겁결에 그녀가 승선한 시카고행 209편기에 오르게 되고, 비행 공포증을 이겨내고자 과거 일레인과의 추억담을 옆좌석 사람들에게 들려준다. 그러던 중 기내 식사로 생선을 먹은 승객들이 식중독 증세를 보이고, 기장(Captain Oveur: 피터 그레이브스 분)을 비롯한 조종사들마저 정신을 잃게 된다. 위기 상황에 처한 여승무원들은 조종 경험이 있는 승객을 수소문하고 마침내 테드가 조종대를 잡게 된다. 1시간 내에 병원으로 후송되지 못하면 생명이 위태로운 승객들. 테드는 시카고 공항에 불시착하고자 하지만 되살아나는 과거의 악몽으로 상황은 어려워져만 간다. 하지만 위기 상황에서 지휘를 맡은 노의사 러막크(Doctor Rumack: 레슬리 닐슨 분)의 말에 감명을 받아 마침내 용기를 얻어 여객기를 무사히 착륙시킨다. 그리고 일레인의 사랑도 되찾는다.",7.7 (245k),15
89,빽 투 더 퓨쳐,"코미디, SF, 액션",(1985),"마티 맥플라이(마이클 J. 폭스)는 평범한 고등학생이다. 그런데 평소 친하게 지내던 괴상한 발명가 에메트 브라운 박사(크리스토퍼 로이드)가 스포츠카 드로리안을 개조해 타임머신을 만들고, 뜻밖의 사고로 브라운 박사가 테러범들에게 총을 맞고 위험해진 상황에서 마티는 30년 전으로 가게 된다. 극장 간판에는 2류 배우인 로널드 레이건이 보이고 청년인 아버지와 어머니를 보게 된다. 젊은 아버진 멍청하고, 어머니는 미래의 아들인 마티를 좋아해 야단이다. 마티가 미래로 가는 것을 도와 줄 사람은 30년 전인 젊은 브라운 박사뿐인데...",8.5 (1m),12+
90,글래디에이터,"드라마, 액션",(2000),"죽을 날이 머지않은 황제 마르쿠스 아우렐리우스는 막시무스를 총애하여 아들이 아닌 그에게 권력을 넘겨주기로 한다. 황제의 아들 코모두스는 이에 질투와 분노를 느껴 황제를 살해한다. 왕좌를 이어받은 코모두스는 막시무스와 그의 가족을 죽이라고 명령한다. 가족을 모두 잃고 겨우 살아남은 막시무스는 노예로 전락하고, 투기장의 검투사가 된다. 그에게 남은 건 오직 황제 코모두스에 대한 복수 뿐. 검투사로서 매 경기마다 승리로 이끌면서 살아남자 그의 명성은 날로 높아 간다. 그러던 어느 날 오래 전 사랑했던 황제의 누이 루실라를 다시 만나게 되는데...",8.5 (1m),15
91,나우 유 씨 미: 마술사기단,"스릴러, 범죄",(2013),단 3초 만에 은행이 털렸다! 1년 전 만해도 무명이었던 길거리 마술사 '포 호스맨'은 단 3초만에 파리 은행의 비자금을 통째로 털어 관객들에게 뿌리는 매직쇼를 성공시켜 전세계의 이목을 끈다. 하지만 이것은 '시선 끌기'였을 뿐! 포 호스맨의 범행은 점점 더 거대해지고 치밀해지는데... 전세계를 무대로 한 통쾌하고 짜릿한 완전범죄 매직쇼가 시작된다!,7.2 (670k),12+
92,23 아이덴티티,"스릴러, 공포",(2016),"23개의 인격을 가진 남자 케빈(제임스 맥어보이). 어릴 때 엄마에게 학대를 당한 그는 자신을 보호하기 위해 인격들의 리더인 배리, 미성숙한 9살 소년 헤드윅, 여성 패트리샤, 강박증이 있는 데니스 등 23개의 인격을 만들어냈다. 유일하게 자신을 이해하는 플레처 박사(베티 버클리)와 상담을 나누며 인격들을 컨트롤하던 그에게 어느 날 비스트라는 24번째 인격에 대한 믿음이 생겨난다. 비스트를 불러내고자 하는 인격들은 세명의 10대 소녀 케이시, 클레어, 마샤를 납치해 감금한다. 케이시는 과거 아버지와 사냥했던 경험과 삼촌에게 학대당했던 기억을 상기하며 탈출 방법을 찾아나간다.",7.3 (510k),15
93,석양의 무법자,"서부, Made in Europe",(1966),"미국의 남북전쟁이 한창인 때, 블론디는 멕시코인 총잡이 투코와 함께 동업 중이다. 블론디는 현상범 투코를 잡아 현상금을 받고, 투코가 교수형을 당하는 순간 구해주는 역할. 한편 세텐자라 불리우는 범죄자는 엄청나 돈이 묻힌 비밀장소를 추적 중이다. 그런데, 투코와 실랑이를 벌이던 블론디는 돈이 묻힌 장소를 죽어가는 사람에게 듣게 되고, 결국 둘은 돈을 찾아 나서는데...",8.8 (769k),15
94,포스 마쥬어: 화이트 베케이션,"드라마, 코미디, Made in Europe",(2014),"늘 일에 쫓기는 남편 토마스는 오랜만에 가족들과 휴가를 즐기기 위해 아내 에바, 딸 베라, 아들 해리와 함께 알프스 산맥에 위치한 스키 리조트에서 즐거운 시간을 보낸다. 둘째 날, 그림같이 눈 덮인 야외 리조트 식당에서 함께 점심을 먹고 있는데 갑자기 산꼭대기에서 엄청난 양의 눈덩이가 쏟아져 내려오기 시작한다. 이것이 진짜 눈사태인지 아닌지 모두 혼란스러워하는 순간, 엄청난 굉음과 함께 식당으로 돌진하는 눈에 에바와 아이들은 공포에 휩싸여 토마스를 찾는다. 찰나의 순간 토마스는 본능적인 결정을 하게 되고, 그 결정은 한 가정의 가장인 그를 예상치 못한 위기로 몰고 가는데...",7.2 (55k),15
95,라스트 사무라이,"드라마, 액션, 전쟁, 역사",(2003),"조국과 명예를 위해 목숨을 걸고 전장터를 누볐던 네이든 알그렌 대위. 그러나 남북전쟁이 끝난 후, 세상은 변했다. 용기와 희생, 명예와 같은 군인의 덕목은 실용주의와 개인의 이익을 추구하는 시대 흐름에 밀려 설 자리를 잃게 되고, 그가 참여했던 전쟁의 명분조차 퇴색해버리자 알그렌은 허탈감에 빠진다. 그리고 지구 반대편에선 또 한명의 무사가 가치관의 혼란 속에 갈등을 겪고 있었다. 황제와 국가에 목숨 바쳐 충성해온 사무라이의 마지막 지도자 카츠모토가 바로 그. 미국이 신문명의 조류 속에서 변혁의 소용돌이에 휘말려있던 그 시기에, 일본의 전통 문화 역시 서양 문물의 도입으로 개혁의 홍역을 앓고 있었다. 새롭게 도입된 철도와 우편제도는 사무라이가 수세기 동안 목숨 걸고 지켜온 가치관을 뒤흔들어 놓고 있었던 것이다. 그러나, 카츠모토에게 전쟁 없는 삶은 곧 죽음이었다.",7.8 (447k),15+
96,저스트 머시,"범죄, 드라마",(2020),"스티븐슨은 월터 맥밀란(제이미 폭스 분)이라는 사람의 변호를 맡게 되는데, 맥밀란은 그의 살해 혐의를 인정하지 않는 상황. 사건은 앨라바마 주에서 일어나며 소규모 동네에서 사라진 여성에 대한 애도를 표하고 있고, 많은 반박 증거에도 불구하고 맥밀란은 살해 혐의로 기소된다.",7.6 (70k),12+
97,1917,"드라마, 전쟁, 스릴러, 액션",(2020),제1차 세계대전이 한창인 1917년 4월 6일. 독일군에 의해 모든 통신망이 파괴된 상황 속에서 서부전선의 영국군 병사 스코필드와 블레이크에게 하나의 미션이 주어졌다. 독일군의 함정에 빠진 영국군 부대의 수장 매켄지 중령에게 에린무어 장군의 공격 중지 명령을 전달하라는 것. 블레이크는 데본셔 연대에 있는 형을 구하기 위해 기꺼이 임무를 수행한다. 동료인 스코필드는 처음엔 당황스러워하지만 이내 1600명의 동료들을 구하기 위해 전쟁터 한가운데를 가로지르는 여정에 동참한다.,8.2 (607k),15
98,바람의 소리,"드라마, 스릴러, 전쟁, 범죄",(2009),"1942년, 일본의 지배하에 놓인 중국, 일본의 허수아비로 내세운 중국 지도자들이 연이어 암살당하는 사건이 벌어진다. 이를 주도한 것이 반일조직의 리더인 ‘권총’이라고 밝혀지지만 일본에서 그의 종적을 파악할 수 없게 된다. 일본군부의 유능한 중장 ‘카케오’는 겁쟁이 가문이라는 모욕을 벗고자 ‘권총’을 잡겠다고 다짐하며‘유령’이라 불리는 정보부 내부의 첩자를 잡아내기 위해 가짜 암호를 내보낸다. 가짜 정보에 걸려든 암호에 접근 할 수 있었던 5명의 내부요원 암호 해독부장 ‘리닝위’, 암호 전달원 ‘샤오멍’, 반공산당 대대장 ‘우쯔궈’. 군기처 처장 ‘진썽훠’, 사령대 총관 ’바이샤오녠’을 외딴 별장에 감금시키고 ‘유령’의 행방을 찾기 위해 그들을 차례로 회유하고 고문한다. 하지만 쉽게 밝혀지지 않는 ‘유령’의 존재… 감금 당한 다섯 명의 요원들과 일본 정보부 요원들의 치열한 고도의 심리전이 펼쳐지게 된다.",7.3 (3k),15
99,콜,"스릴러, 드라마, SF, 범죄, 공포",(2020),"오랜만에 집으로 돌아온 서연. 집에 있던 낡은 전화기를 연결했다가 영숙이란 이름의 낯선 여자와 전화를 하게 된다. 서연은 영숙이 20년 전, 같은 집에 살았던 사람이란 사실을 깨닫고 그때부터 두 사람은 우정을 쌓아간다. 그러던 어느 날, 서연과 영숙은 각자의 현재에서 서로의 인생을 바꿀 사소한 선택을 하게 된다. 영숙은 20년 전 죽은 서연의 아빠를 살려주고, 서연은 그 대가로 영숙의 20년 후 미래를 알려준 것. 그러나 자신의 끔찍한 미래를 알게 된 영숙이 예상치 못한 폭주를 하면서 서연을 위협하기 시작하는데…",7.1 (35k),15
100,더 록,"스릴러, 액션",(1996),"미 해병 여단장 프란시스 하멜 장군(에드 해리스)은 미국 정부를 상대로 극비 군사 작전을 수행하다 전사한 장병의 가족에게 보상을 해줄 것을 호소한다. 그러나 미국 정부는 이것을 무시했고, 하멜 장군은 정의의 회복이라는 명분 하에 알카트라즈 섬을 장악하고 이 섬을 찾아온 관광객 81명을 잡고 몸값을 요구한다. 정부가 이를 들어주지 않을 경우 살상용 화학가스가 장착된 미사일을 샌프란시스코에 발사하겠다고 협박한다. 이 사건을 해결하기 위해서 생화학 무기 전문가인 스탠리 굿스피드 박사(니콜라스 케이지)와 알카트라즈에서 유일한 탈옥자인 존 메이슨(숀 코넬리)이 발탁되는데...",7.4 (343k),15
101,위대한 개츠비,"로맨스, 드라마",(2013),"1922년 뉴욕 외곽에서 살고 있는 닉은 호화로운 별장에 살고 있는 이웃 개츠비에게 관심을 갖게 된다. 제1차 세계대전에 참전한 후 옥스포드에서 공부한 적이 있다는 개츠비는 비밀이 가득한 의문의 사나이로, 토요일마다 떠들썩한 파티를 열어 많은 손님을 초대한다. 파티에서 개츠비와 우정을 쌓게 된 닉은 자신의 사촌 데이지와 개츠비가 연인 사이였던 것을 알게 된다. 데이지는 가난한데다 전쟁터에서도 돌아오지 않는 개츠비를 잊은 채 부유한 톰과 결혼한 상태. 하지만 톰은 정비공의 아내와 은밀한 사이였고, 개츠비와 재회하게 된 데이지는 잊혀졌던 사랑의 감정을 되살리는데...",7.2 (519k),15
102,콘스탄틴,"판타지, 액션, 공포",(2005),"인간의 형상을 한 혼혈 천사와 혼혈 악마가 존재하는 세상. 태어날 때부터 그들을 구분하는 능력을 타고난 존 콘스탄틴은 자신의 능력을 저주하며 운명에서 벗어나기 위해 자살을 시도하지만 실패하고 만다. 그 후 다시 살아난 그는 천국과 지옥의 경계를 넘나들며 세상에 존재하는 악을 지옥으로 돌려보내기에 나선다. 그래야만 지옥으로 가게 되어 있는 자신의 운명이 뒤바뀌어 천국으로 들어갈 수 있음을 깨달았기 때문이다. 술, 담배에 쩔어 살면서 계속되는 전투에 지쳐만 가던 콘스탄틴. 그런 그에게 어느 날, LA 강력계 소속의 형사 안젤라가 찾아와 쌍둥이 동생의 죽음에 대한 의문을 풀기 위해 도움을 요청한다. 그러나 사건을 파헤칠수록 거대한 어둠의 힘 속으로 빨려 들게 되는데...",7.0 (353k),15
103,나이트메어 앨리,"범죄, 드라마, 스릴러, 액션, 판타지, 공포",(2021),"성공에 목마르고 욕망으로 가득 찬 스탠턴은 절박한 상황에서 유랑극단에서 만난 독심술사 지나를 이용하여 사람의 마음을 간파하는 기술을 터득한다. 수려한 외모, 현란한 화술, 마음을 현혹시키는 능력으로 뉴욕 상류층 상대로 부를 손에 쥐게 된 스탠턴. 채워지지 않는 그의 위험한 욕망을 꿰뚫어 본 심리학자 릴리스 박사는 뉴욕에서 가장 위험한 거물을 그에게 소개해 주는데…",7.0 (149k),15
104,선샤인,"스릴러, SF",(2007),"2057년, 태양이 죽어가고, 인류는 멸망의 위기에 처하게 된다. 지구에서는 마지막 방법으로 태양을 폭파시켜 다시 태양을 되살릴 8명의 대원들을 실은 이카루스 2호를 우주로 보낸다. 오랜 비행 끝에 마침내 태양에 근접한 이카루스 2호. 하지만 마지막 임무를 수행하려던 찰나에 예기치 않은 사고가 발생하고 대원들이 하나둘씩 사라진다. 이카루스 2호는 삽시간에 혼란에 휩싸이고 어떤 누구도 생존할 수 없을 지경에 처하게 된다. 그리고 서서히 드러나는 의문의 존재.. 과연 누군가 살아남아 태양을 구할수 있을것인가?",7.2 (254k),15+
105,호텔 뭄바이,"역사, 드라마, 액션, 스릴러",(2019),"도시 중심부 곳곳에 총격과 폭탄 테러가 이어지자 사람들은 피난처를 찾아 100년의 역사를 지닌 타지마할 팰리스 호텔로 몰려든다. 그런데 하필이면 테러범들도 그 호텔을 최후의 격전지로 계획한 상황. 인파 사이에 섞여 호텔 안으로 숨어든 그들은 이내 무차별 사격을 가하기 시작한다. 고객의 안전을 최우선하는 호텔 직원 아르준(데브 파텔), 수석 셰프 오베로이(아누팜 커), 갓 태어난 아들과 여행 온 부부 데이빗(아미 해머)과 자흐라(나자닌 보니아디)는 호텔의 비밀스러운 공간을 옮겨다니며 생존을 위해 악전고투를 펼친다.",7.6 (66k),15
106,귀여운 여인,"코미디, 로맨스",(1990),"에드워드는 망해가는 회사를 사들여 나누어서 비싸게 파는 일을 하는 부유하고도 냉정한 사업가다. 사업차 LA로 간 그는 그 곳에서 비비안이라는 매춘부를 만나 하룻밤을 지낸다. 그는 영화를 보면서 웃거나 목욕을 하며 노래를 부르는 그녀의 모습을 보고 한 주 동안 자신과 같이 지낼 것을 제안하고, 비비안은 에드워드와 중요한 자리에 참석하기 위해 완전히 딴 사람으로 변신한다. 함께 지내게 된 리차드와 비비안은 서로에게 호감을 느끼고, 에드워드는 비비안과 함께 잠시 일에서 벗어나 한가로운 시간을 보내며 회사를 나누어 팔기만 하는 자신의 일에 대해 다시 한번 생각하게 된다.",7.1 (332k),15+
107,아키라,"애니메이션, 액션, 드라마, SF, 스릴러, 판타지",(1988),"알 수 없는 폭발로 도쿄가 폐허가 된 지 31년이 지난 2019년의 일본. 신도시 네오도쿄는 정치와 자본의 결탁으로 첨단의 경제적 풍요를 누리고 있지만 이면에서는 퇴폐, 약물, 폭력, 광신으로 몸살을 앓고 있으며 반정부 시위가 곳곳에서 일어나고 있다. 고아이자 직업학교 출신 폭주족인 카네다 패거리는 오토바이로 거리를 누비며 아슬아슬한 심야의 레이싱을 즐긴다. 그중 한명인 테츠오는 자신에게 통제할 수 없는 엄청난 힘이 내재해 있음을 알고는 세상에 복수하듯 그 힘을 남용하기 시작한다. 과학자들은 진화된 인간에 도달하기 위해 아이들을 대상으로 능력을 각성시킬 실험을 자행하고, 30년 전의 도쿄 폭발은 실험대상 중 아키라라는 미지의 아이와 연관되어 있는데...",8.0 (190k),15
108,클로버필드 10번지,"공포, 스릴러, SF, 액션, 드라마",(2016),의문의 교통사고를 당한 후 알 수 없는 공간에서 깨어난 미셸. 그녀에게 자신이 그녀를 구해줬다고 주장하는 하워드는 지구가 오염되었고 이 곳 만이 유일한 안전지대이며 절대로 문 밖을 나가서는 안된다고 주장한다. 그런 하워드를 구원자로 여기며 따르는 에밋은 아무런 의심 없이 의문의 공간 속에 자발적으로 갇혀 있는데…,7.2 (312k),15
109,퓨리,"드라마, 전쟁, 액션",(2014),"2차 세계대전, 전차부대를 이끄는 대장 워대디에게 적으로 둘러싸인 최전선에서의 마지막 전투 명령이 떨어진다. 하지만 수 차례의 전투로 대부분의 동료를 잃은 그에겐 단 한 대의 탱크 퓨리와 지칠 대로 지쳐버린 부대원들만이 남아있을 뿐. 게다가 지원군으로 경력이 전무한 신병 노먼이 배치되고, 워대디는 신참을 포함한 단 4명의 부대원만으로 적진에 나서야 하는 상황에 처한다. 수백 명의 적들과 맞서야 하는 단 5인의 병사. 최소의 인원과 최악의 조건 속, 사상 최대 위기에 처한 워대디와 그의 부대는 생존 가능성 제로인 최후의 전쟁터로 향하는데...",7.5 (503k),15
110,그것,"판타지, 공포, 스릴러",(2017),"살인과 실종사건이 이상하게 많이 생기는 데리라는 마을, 비 오는 어느 날 종이배를 들고 나간 동생이 사라졌다. 형 빌은 ‘루저 클럽’ 친구들과 함께 동생을 찾아 나서고, 27년마다 가장 무서워하는 것의 모습을 한 채 아이들을 잡아먹는다는 ‘그것’이 빨간 풍선을 든 삐에로의 모습으로 그들 앞에 나타나는데… 빌과 친구들은 공포를 이겨내고 ‘그것’에 맞서 동생과 사라진 아이들을 찾을 수 있을까?",7.3 (559k),15
111,쓰리 빌보드,"드라마, 코미디, 범죄",(2017),"범인을 잡지 못한 딸의 살인 사건에 세상의 관심이 사라지자, 엄마 밀드레드는 아무도 사용하지 않는 마을 외곽 대형 광고판에 도발적인 세 줄의 광고를 실어 메시지를 전한다. 마을 사람들을 모두 놀라게 한 밀드레드의 세 개의 메시지로 인해, 지역 방송에서 살인 사건이 다시 회자되는 등 그녀의 의도대로 세상 사람들의 이목을 끌게 된다. 마을의 존경 받는 경찰서장 월러비와 경찰관 딕슨은 무능한 경찰로 낙인찍히고, 조용한 마을의 평화를 바라는 이웃 주민들은 경찰의 편에 서서 그녀와 맞서기 시작하는데...",8.1 (518k),15
112,이미테이션 게임,"역사, 드라마, 스릴러, 전쟁",(2014),"매 순간 3명이 죽는 사상 최악의 위기에 처한 제 2차 세계대전. 절대 해독이 불가능한 암호 에니그마로 인해 연합군은 속수무책으로 당하게 된다. 결국 각 분야의 수재들을 모아 기밀 프로젝트 암호 해독팀을 가동한다. 천재 수학자 앨런 튜링은 암호 해독을 위한 특별한 기계를 발명하지만 24시간 마다 바뀌는 완벽한 암호 체계 때문에 번번히 좌절하고 마는데... 과연, 앨런 튜링과 암호 해독팀은 암호를 풀고 전쟁의 승리를 끌어낼 수 있을까…?",8.0 (781k),15
113,영 프랑켄슈타인,코미디,(1974),"공포물 을 멜 브룩스 감독이 패러디하여 코미디로 만든 작품. 자욱한 안개와 폭풍이 마을을 휘감고 있는 가운데 산꼭데기의 트랜실비아성은 심상치 않은 기운이 감돌고 있다. 프랑켄슈타인 경의 유언이 친척들에 의해 읽혀지고 그의 재산이 증손자이며 촉망받는 뇌전문 외과의사인 프레드릭 프랑켄슈타인, 일명 '프롱켄쉬틴'에게 상속되어 있었다. 결혼을 앞두고 있는 프레드릭은 그의 상속분을 물려받기 꺼려하면서 탐욕에 가득찬 약혼녀 엘리자베스와 절교를 선언한다. 어느날 밤, 프레드릭은 잠결에 '자신의 운명으로부터 벗어나지 못할 것이라'는 목소리를 듣고 깨어난다. 그는 하녀와 함께 기괴한 음악 소리를 듣고 출처를 알아보기 위해 소리가 나는 곳으로 찾아가 본다. 그러다 책상 뒤의 비밀 통로를 따라 가다가 꼽추인 조수 아이고와 마주치게 되고, 그 곳에서 조부가 남긴 비밀실험에 관한 노트를 우연히 발견해 낸다. 책에서 읽은 대로 실험을 해보기 위해 프레드릭은 교수형당한 한 거구의 시체를 몰래 빼내서 성으로 가져온다. 다음으로 프레드릭은 조수 아이고에게 커다란 뇌를 가져오도록 시키는데 아이고가 그만 운반 도중 뇌를 떨어뜨리고 만다. 온갖 노력 끝에 생명을 얻는 마지막 단계까지 완성된 기괴한 모양의 인조 인간. 그러나 이 괴물은 움직이기 시작하자마자 다짜고짜 프레드릭을 죽이려고 덤벼드는데...",8.0 (161k),15
114,2001 스페이스 오디세이,SF,(1968),"인류에게 문명의 지혜를 가르쳐 준 검은 돌기둥의 정체를 밝히기 위해서 디스커버리호의 선장 보우만과 승무원 풀은 목성을 향해서 날아간다. 하지만 평온하던 디스커버리호에 갑자기 재난이 찾아온다. 우주선 내부에서 일어난 재난은 컴퓨터 HAL이 반란을 일으킨 것. HAL은 풀을 우주선 밖으로 던져버리고, 보우만까지도 모선 밖으로 끌어내지만 그는 필사의 노력으로 HAL을 제압한다. 보우만은 마침내 목성 궤도에서 문제의 검은 돌기둥을 발견하지만, 그 순간 우주의 급류에 휘말리게 된다. 보우만은 지구로의 귀환을 위해 노력하고, 신비한 시간의 흐름을 경험하는데...",8.3 (677k),12+
